age,gender,current_country,highest_education,field_of_study,years_of_experience,english_proficiency,academic_score,current_salary_usd,available_funds_usd,loan_eligibility,family_support,risk_tolerance,target_role,career_switch,priority_income,priority_pr,priority_stability,uk_hourly_wage,uk_employment_rate,uk_psw_available,uk_pr_years_required,uk_university_tier,uk_degree_duration_years,uk_city,uk_cost_of_living_monthly,uk_accommodation_monthly,uk_relocation_cost,local_avg_salary,local_cost_of_living_monthly,local_employment_rate,uk_avg_salary_target_role,uk_skill_shortage,uk_tuition_cost_usd,uk_outcome_score
27,male,India,Master,AI Engineer,5.1,5,69,5751,11228,yes,yes,medium,AI Engineer,no,3,5,4,28,77,yes,5,Non-Russell,2,Nottingham,1111,530,2088,9604,406,68,58240,no,19578,44.3
24,male,India,Bachelor,Software Engineer,4.0,5,70,6280,12582,yes,yes,medium,Web Developer,yes,4,1,4,42,76,yes,5,Non-Russell,2,Birmingham,977,832,3260,12953,488,68,87360,yes,15483,85.5
33,male,India,Bachelor,Web Developer,3.6,4,70,8800,21147,no,no,high,Software Engineer,yes,5,5,2,37,76,yes,5,Non-Russell,1,Birmingham,1565,575,2104,7443,335,64,76960,yes,18635,64.0
31,male,India,Bachelor,AI Engineer,5.4,5,76,8658,19397,yes,no,low,Business Analyst,no,5,5,3,42,78,yes,5,Russell,1,Manchester,1120,742,3728,13048,384,73,87360,yes,21080,74.5
28,female,India,Bachelor,Business Analyst,1.1,5,63,11082,14031,no,no,low,Cybersecurity Analyst,no,2,5,1,28,82,yes,5,Russell,2,Nottingham,1268,816,1673,11515,454,70,58240,no,18987,41.0
33,female,India,Bachelor,Cybersecurity Analyst,0.5,4,63,6934,12243,yes,yes,medium,AI Engineer,no,2,4,4,36,73,yes,5,Non-Russell,1,Leeds,1246,757,3901,7545,468,63,74880,yes,12782,75.5
25,female,India,Master,Business Analyst,1.4,5,76,10869,21647,yes,no,medium,Data Analyst,yes,1,5,4,18,83,yes,5,Russell,2,London,924,689,1853,7210,583,74,37440,no,19360,26.8
27,male,India,Master,Data Analyst,4.8,4,68,7734,19496,yes,no,medium,Software Engineer,yes,3,2,5,44,76,yes,5,Russell,2,Leeds,1319,876,2838,11101,571,70,91520,yes,25050,77.0
30,female,India,Master,Software Engineer,0.2,5,78,11607,17549,yes,no,low,Cybersecurity Analyst,no,4,3,2,22,78,yes,5,Russell,2,Leeds,1253,814,1933,13812,334,74,45760,no,25546,12.3
23,male,India,Bachelor,Web Developer,3.5,3,64,11669,23146,no,yes,medium,Business Analyst,yes,5,4,5,27,84,yes,5,Russell,1,Nottingham,1316,795,3829,8080,483,62,56160,no,19726,41.4
